date,win,lose,probability
1571702400000 	,Toronto Raptors,New Orleans Pelicans,0.8108723831327527
1571711400000 	,Los Angeles Clippers,Los Angeles Lakers,0.6343015459630581
1571785200000 	,Charlotte Hornets,Chicago Bulls,0.708833835002251
1571785200000 	,Indiana Pacers,Detroit Pistons,0.6200732289822497
1571785200000 	,Orlando Magic,Cleveland Cavaliers,0.6765479272229813
1571787000000 	,Minnesota Timberwolves,Brooklyn Nets,0.5167560918270228
1571787000000 	,Miami Heat,Memphis Grizzlies,0.6028491119528401
1571787000000 	,Philadelphia 76ers,Boston Celtics,0.6252265413433776
1571790600000 	,Dallas Mavericks,Washington Wizards,0.5396541598024039
1571790600000 	,San Antonio Spurs,New York Knicks,0.8532985869011017
1571792400000 	,Utah Jazz,Oklahoma City Thunder,0.6106496809985873
1571796000000 	,Sacramento Kings,Phoenix Suns,0.8538296101166438
1571796000000 	,Portland Trail Blazers,Denver Nuggets,0.621441383882631
1571871600000 	,Detroit Pistons,Atlanta Hawks,0.5697573252020052
1571875200000 	,Houston Rockets,Milwaukee Bucks,0.5031579970283878
1571884200000 	,Golden State Warriors,Los Angeles Clippers,0.7400263065284227
1571958000000 	,Boston Celtics,Toronto Raptors,0.5362668036976102
1571958000000 	,Minnesota Timberwolves,Charlotte Hornets,0.5310651258850974
1571959800000 	,Brooklyn Nets,New York Knicks,0.7393504771494591
1571961600000 	,Memphis Grizzlies,Chicago Bulls,0.6428895894886066
1571961600000 	,Dallas Mavericks,New Orleans Pelicans,0.5402874120018566
1571961600000 	,Oklahoma City Thunder,Washington Wizards,0.7338345581439675
1571965200000 	,Denver Nuggets,Phoenix Suns,0.8710329615734888
1571968800000 	,Portland Trail Blazers,Sacramento Kings,0.641083298619116
1571970600000 	,Utah Jazz,Los Angeles Lakers,0.6246304500828165
1572037200000 	,Milwaukee Bucks,Miami Heat,0.8198324767758961
1572044400000 	,Philadelphia 76ers,Detroit Pistons,0.5961088518692532
1572046200000 	,Orlando Magic,Atlanta Hawks,0.7452496962885284
1572046200000 	,Boston Celtics,New York Knicks,0.8794851324326957
1572048000000 	,Toronto Raptors,Chicago Bulls,0.863745133335656
1572048000000 	,Indiana Pacers,Cleveland Cavaliers,0.8595722037056125
1572048000000 	,Houston Rockets,New Orleans Pelicans,0.7398076534203468
1572049800000 	,San Antonio Spurs,Washington Wizards,0.7077274385459472
1572051600000 	,Utah Jazz,Sacramento Kings,0.709304631565841
1572055200000 	,Los Angeles Clippers,Phoenix Suns,0.8874940004077981
1572118200000 	,Oklahoma City Thunder,Golden State Warriors,0.5162162237565495
1572127200000 	,Brooklyn Nets,Memphis Grizzlies,0.6664137772673422
1572130800000 	,Portland Trail Blazers,Dallas Mavericks,0.6345443959551783
1572130800000 	,Miami Heat,Minnesota Timberwolves,0.5576361951563203
1572139800000 	,Charlotte Hornets,Los Angeles Lakers,0.5079428354236957
1572217200000 	,Chicago Bulls,New York Knicks,0.6318320590324398
1572217200000 	,Indiana Pacers,Detroit Pistons,0.5943330822109454
1572219000000 	,Toronto Raptors,Orlando Magic,0.787718996781095
1572219000000 	,Philadelphia 76ers,Atlanta Hawks,0.7920376237417618
