Date,Start (ET),WTeam,LTeam,WLoc
Wed Oct 17 2018,7:00p,Milwaukee Bucks,Charlotte Hornets,V
Wed Oct 17 2018,8:00p,New Orleans Pelicans,Houston Rockets,V
Wed Oct 17 2018,10:00p,Utah Jazz,Sacramento Kings,V
Wed Oct 17 2018,10:30p,Denver Nuggets,Los Angeles Clippers,V
Thu Oct 18 2018,8:00p,Miami Heat,Washington Wizards,V
Fri Oct 19 2018,7:00p,Charlotte Hornets,Orlando Magic,V
Fri Oct 19 2018,10:30p,Golden State Warriors,Utah Jazz,V
Sat Oct 20 2018,7:00p,Toronto Raptors,Washington Wizards,V
Sat Oct 20 2018,7:30p,Boston Celtics,New York Knicks,V
Sat Oct 20 2018,8:00p,Detroit Pistons,Chicago Bulls,V
Sat Oct 20 2018,8:00p,Charlotte Hornets,Miami Heat,V
Sat Oct 20 2018,10:30p,Houston Rockets,Los Angeles Lakers,V
Sun Oct 21 2018,6:00p,Atlanta Hawks,Cleveland Cavaliers,V
Sun Oct 21 2018,7:00p,Sacramento Kings,Oklahoma City Thunder,V
Mon Oct 22 2018,7:30p,Orlando Magic,Boston Celtics,V
Mon Oct 22 2018,9:00p,Memphis Grizzlies,Utah Jazz,V
Mon Oct 22 2018,10:00p,Washington Wizards,Portland Trail Blazers,V
Mon Oct 22 2018,10:30p,San Antonio Spurs,Los Angeles Lakers,V
Wed Oct 24 2018,7:00p,Brooklyn Nets,Cleveland Cavaliers,V
Wed Oct 24 2018,8:00p,Utah Jazz,Houston Rockets,V
Wed Oct 24 2018,8:30p,Indiana Pacers,San Antonio Spurs,V
Wed Oct 24 2018,10:00p,Los Angeles Lakers,Phoenix Suns,V
Thu Oct 25 2018,7:00p,Portland Trail Blazers,Orlando Magic,V
Thu Oct 25 2018,8:00p,Boston Celtics,Oklahoma City Thunder,V
Fri Oct 26 2018,7:30p,Golden State Warriors,New York Knicks,V
Fri Oct 26 2018,8:00p,Los Angeles Clippers,Houston Rockets,V
Fri Oct 26 2018,8:00p,Milwaukee Bucks,Minnesota Timberwolves,V
Sat Oct 27 2018,7:00p,Boston Celtics,Detroit Pistons,V
Sat Oct 27 2018,7:00p,Utah Jazz,New Orleans Pelicans,V
